alias,group
8 аналитов - оценка риска камнеобразования,test_litogennye_substantsii_mochi_8_analitov_otsenka_riska_kamneobrazovaniya_sutochnaya_mocha
9 экзона гена calr,test_opredelenie_mutatsiy_v617f_v_14_ekzone_gena_jak_2_kinaza_w515_v_gene_mpl_9_ekzona_gena_cal
a-dsdna,test_antitela_k_dvuspiralnoy_dnk_nativnoy_a_dsdna
a-ssdnа,test_antitela_k_odnospiralnoy_dnk_a_ssdna
a-ssdnа пцр,test_antitela_k_odnospiralnoy_dnk_a_ssdna
aa,test_polinenasyschennye_zhirnye_kisloty_zhk_semeystva_omega_6_linolevaya_la_gamma_linolenovaya
accp,test_antitela_k_tsiklicheskomu_tsitrullinovomu_peptidu_accp_anti_ccp
ace,test_aktivnost_angiotenzin_prevraschayuschego_fermenta_ace
acth,test_adrenokortikotropnyy_gormon_aktg
alex2,allergen_allergochip_alex2_300_komponentov_vklyuchaet_opredelenie_obs
alkaline phosphatase,test_schelochnaya_fosfataza
alp,test_schelochnaya_fosfataza
alt,test_alaninaminotransferaza_alt
alternaria alternata,test_alternaria_alternata_allergokomponent_ige_immunocap_m229_ralt_a1
alternaria alternata аллергокомпонент ige immunocap m229 ralt a1,test_alternaria_alternata_allergokomponent_ige_immunocap_m229_ralt_a1
alternaria alternata аллергокомпонент ige m229 ralt a1,test_alternaria_alternata_allergokomponent_ige_immunocap_m229_ralt_a1
ama,test_antitela_k_mitohondriyam_ama_m1_m9_igg_nrif
ama-m2,test_antinuklearnye_antitela_immunoblot_k_nrnp_sm_sm_ss_a_ss_a_nativnyy_ss_b_scl_70_pm_scl_cenp
ama-м2,test_antitela_k_mitohondriyam_ama_m2_igg
amh,test_antimyullerov_gormon_amg_amn_mis
aml1-eto - t,test_aml1_eto_t_8_21_kach
aml1-eto - t 8 21 кач,test_aml1_eto_t_8_21_kach
aml1-eto - t кач,test_aml1_eto_t_8_21_kach
ana,test_antitela_k_yadernym_antigenam_ana
ana-pcna,test_antinuklearnye_antitela_immunoblot_k_nrnp_sm_sm_ss_a_ss_a_nativnyy_ss_b_scl_70_pm_scl_cenp
ana-ro-52,test_antinuklearnye_antitela_immunoblot_k_nrnp_sm_sm_ss_a_ss_a_nativnyy_ss_b_scl_70_pm_scl_cenp
anca,test_antineytrofilnye_tsitoplazmaticheskie_antitela_igg_anca_combi_6_k_proteinaze_3_laktoferrin
anti-ccp,test_antitela_k_tsiklicheskomu_tsitrullinovomu_peptidu_accp_anti_ccp
anti-chsp60,test_antitela_k_belku_teplovogo_shoka_chlamydia_trachomatis_anti_chsp60_igg
anti-hav igg,test_antitela_k_virusu_gepatita_a_igg_anti_hav_igg
anti-hav igm,test_antitela_k_virusu_gepatita_a_igm_anti_hav_igm
anti-hbcor,test_antitela_k_yadernomu_cor_antigenu_virusa_gepatita_v_summarnye_anti_hbcor
anti-hbcor igm,test_antitela_k_yadernomu_cor_antigenu_virusa_gepatita_v_igm_anti_hbcor_igm
anti-hbs,test_antitela_k_poverhnostnomu_antigenu_virusa_gepatita_v_anti_hbs
anti-hbе,test_antitela_k_hbe_antigenu_virusa_gepatita_b_summarnye_anti_hbe
anti-hcv,test_antitela_k_virusu_gepatita_s_sum_anti_hcv
anti-hcv igm,test_antitela_k_virusu_gepatita_c_igm_anti_hcv_igm
anti-hdv,test_antitela_k_virusu_gepatita_d_summarnye_anti_hdv
anti-hdv igm,test_antitela_k_virusu_gepatita_d_igm_anti_hdv_igm
anti-hev,test_antitela_k_virusu_gepatita_e_anti_hev_igm
anti-hev igg,test_antitela_k_virusu_gepatita_e_igg_anti_hev_igg
anti-lkm,test_antitela_k_mikrosomalnoy_fraktsii_pecheni_i_pochek_anti_lkm
apa,test_antiretikulinovye_antitela_iga_igg_apa
apoa1,test_apolipoprotein_a1
apob100,test_geneticheskaya_diagnostika_nasledstvennoy_giperholesterinemii_geny_ldlr_pcsk9_apob100
apoe e2,test_geneticheskaya_predraspolozhennost_k_bolezni_altsgeymera
aptt,test_achtv
ar,test_gen_androgenovogo_retseptora_ar_chislo_cag_povtorov
aslo,test_antistreptolizin_o_aslo
ast,test_aspartataminotransferaza_ast
atm,test_opredelenie_mutatsiy_v_genah_brca1_brca2_palb2_atm_chek2_metodom_ngs
atp7b,test_genodiagnostika_patologii_pecheni_otsenka_mutatsiy_v_genah_hfe_atp7b_piz_s_a1at_i_pnpla3
aэa,test_antitela_k_endomiziyu_iga_aea
bcr-abl p190 - t 9 22 качест,test_bcr_abl_p190_t_9_22_kachestvennyy
bcr-abl p190 - t 9 22 колич,test_bcr_abl_p190_t_9_22_kolichestvennyy
bcr-abl p190 - t качест,test_bcr_abl_p190_t_9_22_kachestvennyy
bcr-abl p190 - t колич,test_bcr_abl_p190_t_9_22_kolichestvennyy
bcr-abl p210 t 9 22 кол b2a2/b3a2 суммарно,test_bcr_abl_p210_t_9_22_kol_b2a2_b3a2_summarno
bcr-abl p210 t кол,test_bcr_abl_p210_t_9_22_kol_b2a2_b3a2_summarno
bcr-ablp210 t,test_bcr_ablp210_t_9_22_kach_b2a2_b3a2_summarno
bcr-ablp210 t 9 22 кач b2a2/b3a2 суммарно,test_bcr_ablp210_t_9_22_kach_b2a2_b3a2_summarno
bcr-ablp210 t кач,test_bcr_ablp210_t_9_22_kach_b2a2_b3a2_summarno
bcr-ablp230 t,test_bcr_ablp230_t_9_22_kol
bcr-ablp230 t 9 22 кол,test_bcr_ablp230_t_9_22_kol
bcr-ablp230 t кол,test_bcr_ablp230_t_9_22_kol
bl,test_posev_na_difteriynuyu_palochku_corynebacterium_diphtheriae_bl
blastocystis hominis,test_protoskrin_vyyavlenie_dnk_prosteyshih_v_kale_metodom_ptsr_lamblia_giardia_intestinalis_bla
bnp,test_natriyureticheskiy_peptid_b_bnp
bpi,test_antineytrofilnye_tsitoplazmaticheskie_antitela_igg_anca_combi_6_k_proteinaze_3_laktoferrin
brca2 - 8 показателей,test_geneticheskiy_risk_razvitiya_raka_molochnoy_zhelezy_i_raka_yaichnikov_brca1_brca2_8_pokaza
bsa,test_bychiy_syvorotochnyy_albumin_allergokomponent_ige_immunocap_e204_nbos_d6_bsa
burst,test_bakteritsidnaya_aktivnost_krovi_burst
