"13.14.D3,""РНК ротавирусов, норовирусов, астровирусов (Rotavirus/Norovirus/Astrovirus) в кале"",кач.,25,3,1495,""РНК ротавирусов, норовирусов, астровирусов в кале, РНК ротавирусов, ПЦР ротавирусов, ротавирусов ПЦР"",,test_rnk_rotavirusov_norovirusov_astrovirusov_rotavirus_norovirus_astrovirus_v_kale,100";;;;;;;;
"13.15.A1.900,ДНК кандиды (Candida albicans),кач.,25,1,555,""candida, кандидоз, молочница, ДНК кандиды, ПЦР кандиды, кандиды ПЦР"",,test_dnk_kandidy_candida_albicans,100";;;;;;;;
"13.15.A2.900,""ДНК кандиды (Сandida albicans), количественно"",кол.,25,1,600,""candida, кандидоз, молочница, ДНК кандиды, количественно, ДНК кандиды, ПЦР кандиды, кандиды ПЦР"",,test_dnk_kandidy_sandida_albicans_kolichestvenno,100";;;;;;;;
"13.15.D1.900,ДНК грибов рода кандиды (Candida albicans/Candida glabrata/Candida krusei) с определением типа,кач.,25,1,925,""candida, кандидоз, молочница, ДНК грибов рода кандиды с определением типа, ДНК грибов рода кандиды, ПЦР грибов рода кандиды, грибов рода кандиды ПЦР"",,test_dnk_gribov_roda_kandidy_candida_albicans_candida_glabrata_candida_krusei_s_opredeleniem_ti,100";;;;;;;;
"13.16.A1.900,ДНК токсоплазмы (Toxoplasma gondii),кач.,25,1,555,""toxoplasma, токсоплазма, ДНК токсоплазмы, ПЦР токсоплазмы, токсоплазмы ПЦР"",,test_dnk_toksoplazmy_toxoplasma_gondii,100";;;;;;;;
"13.16.A2.900,""ДНК токсоплазмы (Toxoplasma gondii), количественно"",кол.,25,1,920,""toxoplasma, токсоплазма, ДНК токсоплазмы, количественно, ДНК токсоплазмы, ПЦР токсоплазмы, токсоплазмы ПЦР"",,test_dnk_toksoplazmy_toxoplasma_gondii_kolichestvenno,100";;;;;;;;
"13.17.A1.900,ДНК трихомонады (Trichomonas vaginalis),кач.,25,1,540,""trichomonas, трихомониаз, ДНК трихомонады, ПЦР трихомонады, трихомонады ПЦР"",,test_dnk_trihomonady_trichomonas_vaginalis,100";;;;;;;;
"13.17.A2.900,""ДНК трихомонады (Trichomonas vaginalis), количественно"",кол.,25,1,600,""trichomonas, трихомониаз, ДНК трихомонады, количественно, ДНК трихомонады, ПЦР трихомонады, трихомонады ПЦР"",,test_dnk_trihomonady_trichomonas_vaginalis_kolichestvenno,100";;;;;;;;
"13.18.A1.900,""ДНК цитомегаловируса (Cytomegalovirus, CMV)"",кач.,25,1,605,""ЦМВ, CMV, омега-3 индекс, жирные кислоты, ДНК цитомегаловируса, Cytomegalovirus, ПЦР цитомегаловируса, цитомегаловируса ПЦР"",,test_dnk_tsitomegalovirusa_cytomegalovirus_cmv,100";;;;;;;;
"13.18.A2.900,""ДНК цитомегаловируса (Cytomegalovirus, CMV), количественно"",кол.,25,1,595,""ЦМВ, CMV, омега-3 индекс, жирные кислоты, ДНК цитомегаловируса, количественно, Cytomegalovirus, ДНК цитомегаловируса, ПЦР цитомегаловируса, цитомегаловируса ПЦР"",,test_dnk_tsitomegalovirusa_cytomegalovirus_cmv_kolichestvenno,100";;;;;;;;
"13.19.A1.900,ДНК вируса простого герпеса I типа (Herpes simplex virus I),кач.,25,1,520,""ДНК вируса простого герпеса I типа, ПЦР вируса простого герпеса I типа, вируса простого герпеса I типа ПЦР"",,test_dnk_virusa_prostogo_gerpesa_i_tipa_herpes_simplex_virus_i,100";;;;;;;;
"13.19.A2.900,ДНК вируса простого герпеса II типа (Herpes simplex virus II),кач.,25,1,535,""ДНК вируса простого герпеса II типа, Herpes simplex virus II, ПЦР вируса простого герпеса II типа, вируса простого герпеса II типа ПЦР"",,test_dnk_virusa_prostogo_gerpesa_ii_tipa_herpes_simplex_virus_ii,100";;;;;;;;
"13.19.A3.900,ДНК вируса простого герпеса I и II типов (Herpes simplex virus I и II),кач.,25,1,555,""ДНК вируса простого герпеса I и II типов, Herpes simplex virus I и II, ПЦР вируса простого герпеса I и II типов, вируса простого герпеса I и II типов ПЦР"",,test_dnk_virusa_prostogo_gerpesa_i_i_ii_tipov_herpes_simplex_virus_i_i_ii,100";;;;;;;;
"13.19.A4.900,""ДНК вируса простого герпеса I типа (Herpes simplex virus I), количественно"",кол.,25,1,555,""ДНК вируса простого герпеса I типа, количественно, ДНК вируса простого герпеса I типа, ПЦР вируса простого герпеса I типа, вируса простого герпеса I типа ПЦР"",,test_dnk_virusa_prostogo_gerpesa_i_tipa_herpes_simplex_virus_i_kolichestvenno,100";;;;;;;;
"13.19.A5.900,""ДНК вируса простого герпеса II типа (Herpes simplex virus II), количественно"",кол.,25,1,555,""ДНК вируса простого герпеса II типа, количественно, Herpes simplex virus II, ДНК вируса простого герпеса II типа, ПЦР вируса простого герпеса II типа, вируса простого герпеса II типа ПЦР"",,test_dnk_virusa_prostogo_gerpesa_ii_tipa_herpes_simplex_virus_ii_kolichestvenno,100";;;;;;;;
"13.2.A1.900,ДНК микоплазмы (Mycoplasma hominis),кач.,25,1,545,""mycoplasma, микоплазмоз, ДНК микоплазмы, ПЦР микоплазмы, микоплазмы ПЦР"",,test_dnk_mikoplazmy_mycoplasma_hominis,100";;;;;;;;
"13.2.A2.900,ДНК микоплазмы (Mycoplasma genitalium),кач.,25,1,530,""mycoplasma, микоплазмоз, ДНК микоплазмы, ПЦР микоплазмы, микоплазмы ПЦР"",,test_dnk_mikoplazmy_mycoplasma_genitalium,100";;;;;;;;
"13.2.A4.900,""ДНК микоплазмы (Mycoplasma genitalium), количественно"",кол.,25,1,585,""mycoplasma, микоплазмоз, ДНК микоплазмы, количественно, ДНК микоплазмы, ПЦР микоплазмы, микоплазмы ПЦР"",,test_dnk_mikoplazmy_mycoplasma_genitalium_kolichestvenno,100";;;;;;;;
"13.2.A5.900,""ДНК микоплазмы (Mycoplasma hominis), количественно"",кол.,25,1,585,""mycoplasma, микоплазмоз, ДНК микоплазмы, количественно, ДНК микоплазмы, ПЦР микоплазмы, микоплазмы ПЦР"",,test_dnk_mikoplazmy_mycoplasma_hominis_kolichestvenno,100";;;;;;;;
"13.20.A1.900,ДНК вируса герпеса VI типа (Human Herpes virus VI),кач.,25,1,565,""ДНК вируса герпеса VI типа, Human Herpes virus VI, ПЦР вируса герпеса VI типа, вируса герпеса VI типа ПЦР"",,test_dnk_virusa_gerpesa_vi_tipa_human_herpes_virus_vi,100";;;;;;;;
"13.20.A2.900,""ДНК вируса герпеса VI типа (Human Herpes virus VI), количественно"",кол.,25,1,630,""ДНК вируса герпеса VI типа, количественно, Human Herpes virus VI, ДНК вируса герпеса VI типа, ПЦР вируса герпеса VI типа, вируса герпеса VI типа ПЦР"",,test_dnk_virusa_gerpesa_vi_tipa_human_herpes_virus_vi_kolichestvenno,100";;;;;;;;
"13.21.A1.900,ДНК вируса Эпштейна-Барр (Epstein-Barr virus),кач.,25,1,530,""ВЭБ, EBV, инфекционный мононуклеоз, ДНК вируса Эпштейна-Барр, ПЦР вируса Эпштейна-Барр, вируса Эпштейна-Барр ПЦР"",,test_dnk_virusa_epshteyna_barr_epstein_barr_virus,100";;;;;;;;
"13.21.A2.900,""ДНК вируса Эпштейна-Барр (Epstein-Barr virus), количественно"",кол.,25,1,635,""ВЭБ, EBV, инфекционный мононуклеоз, ДНК вируса Эпштейна-Барр, количественно, ДНК вируса Эпштейна-Барр, ПЦР вируса Эпштейна-Барр, вируса Эпштейна-Барр ПЦР"",,test_dnk_virusa_epshteyna_barr_epstein_barr_virus_kolichestvenno,100";;;;;;;;
"13.22.A1.900,ДНК вируса Варицелла-Зостер (Varicella-Zoster virus),кач.,25,3,550,""ветряная оспа, опоясывающий лишай, VZV, ДНК вируса Варицелла-Зостер, ПЦР вируса Варицелла-Зостер, вируса Варицелла-Зостер ПЦР"",,test_dnk_virusa_varitsella_zoster_varicella_zoster_virus,100";;;;;;;;
"13.23.A1.900,ДНК папилломавируса (ВПЧ) 16 типа,кач.,25,1,535,""ДНК папилломавируса 16 типа, ВПЧ, ДНК папилломавируса, ПЦР папилломавируса, папилломавируса ПЦР"",,test_dnk_papillomavirusa_vpch_16_tipa,100";;;;;;;;
"13.23.A2.900,ДНК папилломавируса (ВПЧ) 18 типа,кач.,25,1,535,""ДНК папилломавируса 18 типа, ВПЧ, ДНК папилломавируса, ПЦР папилломавируса, папилломавируса ПЦР"",,test_dnk_papillomavirusa_vpch_18_tipa,100";;;;;;;;
"13.23.A3.900,""ДНК папилломавирусов (ВПЧ) высокого канцерогенного риска (16-68 типов: 16,18,31,33,35,39,45,51,52,56,58,59,66,68) суммарно"",кач.,25,1,1455,""ДНК папилломавирусов высокого канцерогенного риска суммарно, ВПЧ, ДНК папилломавирусов, ПЦР папилломавирусов, папилломавирусов ПЦР"",,test_dnk_papillomavirusov_vpch_vysokogo_kantserogennogo_riska_16_68_tipov_16_18_31_33_35_39_45,100";;;;;;;;
"13.23.D1.900,""ДНК папилломавирусов (ВПЧ) 31/33 типов, типирование"",кач.,25,1,445,""ДНК папилломавирусов 31/33 типов, типирование, ВПЧ, ДНК папилломавирусов, ПЦР папилломавирусов, папилломавирусов ПЦР"",,test_dnk_papillomavirusov_vpch_31_33_tipov_tipirovanie,100";;;;;;;;
"13.23.D10,""ВПЧ-тест (Вектор-Бест) высокого канцерогенного риска (16-68 типов: 16, 18 с определением типа, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 суммарно)"",кач.,25,8,2150,ВПЧ-тест высокого канцерогенного риска,,test_vpch_test_vektor_best_vysokogo_kantserogennogo_riska_16_68_tipov_16_18_s_opredeleniem_tipa,100";;;;;;;;
"13.23.D2.900,""ДНК папилломавирусов (ВПЧ) 6/11 типов, типирование"",кач.,25,1,770,""ДНК папилломавирусов 6/11 типов, типирование, ВПЧ, ДНК папилломавирусов, ПЦР папилломавирусов, папилломавирусов ПЦР"",,test_dnk_papillomavirusov_vpch_6_11_tipov_tipirovanie,100";;;;;;;;
"13.23.D3.900,""ДНК папилломавирусов (ВПЧ) 6/11 типов, типирование, кол."",кол.,25,1,1025,""ДНК папилломавирусов 6/11 типов, типирование, кол., ВПЧ, ДНК папилломавирусов, ПЦР папилломавирусов, папилломавирусов ПЦР"",,test_dnk_papillomavirusov_vpch_6_11_tipov_tipirovanie_kol,100";;;;;;;;
"13.23.D4.900,""ДНК папилломавирусов (ВПЧ) 31/33 типов, типирование, кол."",кол.,25,1,510,""ДНК папилломавирусов 31/33 типов, типирование, кол., ВПЧ, ДНК папилломавирусов, ПЦР папилломавирусов, папилломавирусов ПЦР"",,test_dnk_papillomavirusov_vpch_31_33_tipov_tipirovanie_kol,100";;;;;;;;
"13.23.D5.900,""ВПЧ-тест (ROCHE COBAS4800) высокого канцерогенного риска (16-68 типов: 16, 18 с определением типа, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 без определения типа)"",кач.,25,8,2530,""ВПЧ-тест высокого канцерогенного риска, ROCHE COBAS4800"",,test_vpch_test_roche_cobas4800_vysokogo_kantserogennogo_riska_16_68_tipov_16_18_s_opredeleniem,100";;;;;;;;
"13.23.D6.900,""ДНК папилломавирусов (ВПЧ) высокого канцерогенного риска 12 типов (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59 типов), типирование"",кач.,25,1,1525,""ДНК папилломавирусов высокого канцерогенного риска 12 типов, типирование, ВПЧ, ДНК папилломавирусов, ПЦР папилломавирусов, папилломавирусов ПЦР"",,test_dnk_papillomavirusov_vpch_vysokogo_kantserogennogo_riska_12_tipov_16_18_31_33_35_39_45_51,100";;;;;;;;
"13.23.H1,""ДНК папилломавирусов (ВПЧ) 14 типов (КВМ, типы 6, 11, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59), типирование, кол."",кол.,25,1,2140,""ДНК папилломавирусов 14 типов, типирование, кол., ВПЧ, КВМ, типы 6, 11, 16, 18, 31, 33, 35"",,test_dnk_papillomavirusov_vpch_14_tipov_kvm_tipy_6_11_16_18_31_33_35_39_45_51_52_56_58_59_tipir,100";;;;;;;;
"13.23.H2,""ДНК папилломавирусов (ВПЧ) 21 тип (КВМ, типы 6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82), типирование, кол."",кол.,25,1,3465,""ДНК папилломавирусов 21 тип, типирование, кол., ВПЧ, ДНК папилломавирусов, ПЦР папилломавирусов, папилломавирусов ПЦР"",,test_dnk_papillomavirusov_vpch_21_tip_kvm_tipy_6_11_16_18_26_31_33_35_39_44_45_51_52_53_56_58_5,100";;;;;;;;
"13.24.D1.900,""ДНК папилломавирусов (ВПЧ) 16/18 типов, типирование, кол."",кол.,25,1,775,""ДНК папилломавирусов 16/18 типов, типирование, кол., ВПЧ, ДНК папилломавирусов, ПЦР папилломавирусов, папилломавирусов ПЦР"",,test_dnk_papillomavirusov_vpch_16_18_tipov_tipirovanie_kol,100";;;;;;;;
"13.25.A1.101,""РНК энтеровируса (Enterovirus), кал"",кач.,25,3,830,""РНК энтеровируса, кал, РНК энтеровируса, ПЦР энтеровируса, энтеровируса ПЦР"",,test_rnk_enterovirusa_enterovirus_kal,100";;;;;;;;
"13.26.A1.101,РНК ротавирусов (Rotavirus) A,кач.,25,3,1390,""РНК ротавирусов A, РНК ротавирусов, ПЦР ротавирусов, ротавирусов ПЦР"",,test_rnk_rotavirusov_rotavirus_a,100";;;;;;;;
"13.28.A1.101,РНК норовирусов (Norovirus) II типа,кач.,25,3,1390,""РНК норовирусов II типа, РНК норовирусов, ПЦР норовирусов, норовирусов ПЦР"",,test_rnk_norovirusov_norovirus_ii_tipa,100";;;;;;;;
"13.29.A1.900,""ДНК аденовируса (типы 3, 2, 5, 4, 7, 12, 16, 40, 41, 48)"",кач.,25,5,1360,""ДНК аденовируса, ПЦР аденовируса, аденовируса ПЦР"",,test_dnk_adenovirusa_tipy_3_2_5_4_7_12_16_40_41_48,100";;;;;;;;
"13.3.A1.900,ДНК уреаплазмы (Ureaplasma urealyticum),кач.,25,1,545,""ureaplasma, уреаплазмоз, ДНК уреаплазмы, ПЦР уреаплазмы, уреаплазмы ПЦР"",,test_dnk_ureaplazmy_ureaplasma_urealyticum,100";;;;;;;;
"13.3.A2.900,ДНК уреаплазмы (Ureaplasma parvum),кач.,25,1,530,""ureaplasma, уреаплазмоз, ДНК уреаплазмы, ПЦР уреаплазмы, уреаплазмы ПЦР"",,test_dnk_ureaplazmy_ureaplasma_parvum,100";;;;;;;;
"13.3.A3.900,ДНК уреаплазмы (Ureaplasma species),кач.,25,1,545,""ureaplasma, уреаплазмоз, ДНК уреаплазмы, ПЦР уреаплазмы, уреаплазмы ПЦР"",,test_dnk_ureaplazmy_ureaplasma_species,100";;;;;;;;
"13.3.A4.900,""ДНК уреаплазмы (Ureaplasma species), количественно"",кол.,25,1,685,""ureaplasma, уреаплазмоз, ДНК уреаплазмы, количественно, ДНК уреаплазмы, ПЦР уреаплазмы, уреаплазмы ПЦР"",,test_dnk_ureaplazmy_ureaplasma_species_kolichestvenno,100";;;;;;;;
"13.3.A5.900,""ДНК уреаплазмы (Ureaplasma urealyticum), количественно"",кол.,25,1,555,""ureaplasma, уреаплазмоз, ДНК уреаплазмы, количественно, ДНК уреаплазмы, ПЦР уреаплазмы, уреаплазмы ПЦР"",,test_dnk_ureaplazmy_ureaplasma_urealyticum_kolichestvenno,100";;;;;;;;
"13.3.A6.900,""ДНК уреаплазмы (Ureaplasma parvum), количественно"",кол.,25,1,585,""ureaplasma, уреаплазмоз, ДНК уреаплазмы, количественно, ДНК уреаплазмы, ПЦР уреаплазмы, уреаплазмы ПЦР"",,test_dnk_ureaplazmy_ureaplasma_parvum_kolichestvenno,100";;;;;;;;
"13.30.A2.900,""РНК вируса гриппа A/H1N1 (свиной грипп), (кач.)"",кач.,25,1,4145,""обнаружение возбудителя, РНК вируса гриппа A/H1N1, ПЦР вируса гриппа A/H1N1, вируса гриппа A/H1N1 ПЦР"",,test_rnk_virusa_grippa_a_h1n1_svinoy_gripp_kach,100";;;;;;;;
"13.30.A4,*РНК коронавируса SARS-CoV-2 (COVID-19),кач.,25,1,1910,""COVID-19, ковид, SARS-CoV-2, коронавирус, РНК коронавируса SARS-CoV-2, ПЦР коронавируса SARS-CoV-2, коронавируса SARS-CoV-2 ПЦР"",,test_rnk_koronavirusa_sars_cov_2_covid_19,100";;;;;;;;
13.30.D1.900,Генотипирование вируса гриппа (А/B),кач.,25,1,1390,Генотипирование вируса гриппа,,test_genotipirovanie_virusa_grippa_a_b,100;;;;;;;;
"13.30.D2.900,""ОРВИ-Скрин (РНК респираторносинцитиального вируса/ РНК метапневмовируса/ РНК парагриппа (типов 1, 2, 3 и 4)/ РНК коронавирусов/ РНК риновирусов/ ДНК аденовирусов (групп B, C и E)/ ДНК бокавируса)"",кач.,25,1,2850,""COVID-19, ковид, SARS-CoV-2, ОРВИ-Скрин/ РНК коронавирусов/ РНК риновирусов/ ДНК аденовирусов/ ДНК бокавируса), ДНК аденовирусов, ПЦР аденовирусов, аденовирусов ПЦР, РНК респираторносинцитиального вируса/ РНК метапневмовируса/ РНК парагриппа, ПЦР респираторносинцитиального вируса/ РНК метапневмовируса/ РНК парагриппа, респираторносинцитиального вируса/ РНК метапневмовируса/ РНК парагриппа ПЦР"",,test_orvi_skrin_rnk_respiratornosintsitialnogo_virusa_rnk_metapnevmovirusa_rnk_paragrippa_tipov,100";;;;;;;;
"13.30.D3.900,""РНК вирусов гриппа A/H1N1,A/H3N2"",кач.,25,1,3230,""РНК вирусов гриппа A/H1N1, ПЦР вирусов гриппа A/H1N1, вирусов гриппа A/H1N1 ПЦР"",,test_rnk_virusov_grippa_a_h1n1_a_h3n2,100";;;;;;;;
"13.31.D1.900,ДНК возбудителей коклюша/паракоклюша/бронхосептикоза (Bordetella pertussis/Bordetella parapertussis/Bordetella bronchiseptica),кач.,25,3,1150,""ДНК возбудителей коклюша/паракоклюша/бронхосептикоза, ПЦР возбудителей коклюша/паракоклюша/бронхосептикоза, возбудителей коклюша/паракоклюша/бронхосептикоза ПЦР"",,test_dnk_vozbuditeley_koklyusha_parakoklyusha_bronhoseptikoza_bordetella_pertussis_bordetella_p,100";;;;;;;;
"13.32.D2,""Комплексное исследование ДНК менингококка, гемофильной палочки, стрептококка (Neisseria meningitidis, Haemophilus influenzae, Streptococcus pneumoniae) , кач"",кач.,25,3,2045,""Комплексное исследование ДНК менингококка, гемофильной палочки, стрептококка , кач, ДНК менингококка, ПЦР менингококка, менингококка ПЦР"",,test_kompleksnoe_issledovanie_dnk_meningokokka_gemofilnoy_palochki_streptokokka_neisseria_menin,100";;;;;;;;
13.32.D4,КолоноФлор (количественное определение состава микробиоты толстого кишечника методом ПЦР),кол.,25,8,5620,КолоноФлор,,test_kolonoflor_kolichestvennoe_opredelenie_sostava_mikrobioty_tolstogo_kishechnika_metodom_pts,100;;;;;;;;
13.32.D5,Энтерофлор (исследование состава микробиоты толстого кишечника у детей до 14 лет методом ПЦР),кол.,25,8,6645,Энтерофлор,,test_enteroflor_issledovanie_sostava_mikrobioty_tolstogo_kishechnika_u_detey_do_14_let_metodom,100;;;;;;;;
"13.34.A1.900,ДНК парвовируса B19 (Parvovirus B19),кач.,25,4,815,""ДНК парвовируса B19, ПЦР парвовируса B19, парвовируса B19 ПЦР"",,test_dnk_parvovirusa_b19_parvovirus_b19,100";;;;;;;;
"13.34.D2,""ГельмоСкрин (выявление ДНК гельминтов в кале методом ПЦР: Ascaris lumbricoides, Enterobius vermicularis, Opisthorchis felineus, Taenia solium, Diphyllobothrium latum)"",кач.,25,8,2865,""ГельмоСкрин, ДНК гельминтов в кале методом ПЦР: Ascaris lumbricoides, ПЦР гельминтов в кале методом ПЦР: Ascaris lumbricoides, гельминтов в кале методом ПЦР: Ascaris lumbricoides ПЦР"",,test_gelmoskrin_vyyavlenie_dnk_gelmintov_v_kale_metodom_ptsr_ascaris_lumbricoides_enterobius_ve,100";;;;;;;;
"13.36.D2,""ПротоСкрин (выявление ДНК простейших в кале методом ПЦР: Lamblia (Giardia) intestinalis, Blastocystis hominis, Dientamoeba fragilis, Isospora belli, Cryptosporidium parvum, Entamoeba histolytica)"",кач.,25,8,3055,""ПротоСкрин intestinalis, Blastocystis hominis, Dientamoeba fragilis, Isospora belli, Cryptosporidium parvum, Entamoeba histolytica), ДНК простейших в кале методом ПЦР: Lamblia, ПЦР простейших в кале методом ПЦР: Lamblia, простейших в кале методом ПЦР: Lamblia ПЦР"",,test_protoskrin_vyyavlenie_dnk_prosteyshih_v_kale_metodom_ptsr_lamblia_giardia_intestinalis_bla,100";;;;;;;;
"13.37.A1.900,ДНК пневмоцисты (Pneumocystis jirovecii (carinii)),кач.,25,8,840,""ДНК пневмоцисты), ПЦР пневмоцисты, пневмоцисты ПЦР"",,test_dnk_pnevmotsisty_pneumocystis_jirovecii_carinii,100";;;;;;;;
"13.38.A1.900,""ДНК стрептококка (S. agalactiae), кол."",кол.,25,3,830,""ДНК стрептококка, кол., ДНК стрептококка, ПЦР стрептококка, стрептококка ПЦР"",,test_dnk_streptokokka_s_agalactiae_kol,100";;;;;;;;
"13.4.A1.900,ДНК гарднереллы (Gardnerella vaginalis),кач.,25,1,540,""гарднерелла, бактериальный вагиноз, ДНК гарднереллы, ПЦР гарднереллы, гарднереллы ПЦР"",,test_dnk_gardnerelly_gardnerella_vaginalis,100";;;;;;;;
"13.4.A2.900,""ДНК гарднереллы (Gardnerella vaginalis), количественно"",кол.,25,1,585,""гарднерелла, бактериальный вагиноз, ДНК гарднереллы, количественно, ДНК гарднереллы, ПЦР гарднереллы, гарднереллы ПЦР"",,test_dnk_gardnerelly_gardnerella_vaginalis_kolichestvenno,100";;;;;;;;
13.44.D1.900,Флороценоз - бактериальный вагиноз,кол.,25,6,1685,,,test_florotsenoz_bakterialnyy_vaginoz,100;;;;;;;;
"13.44.D2.900,ФЛОРОЦЕНОЗ - комплексное исследование (включает NCMT),кол.,25,6,2970,""ФЛОРОЦЕНОЗ - комплексное исследование, включает NCMT"",,test_florotsenoz_kompleksnoe_issledovanie_vklyuchaet_ncmt,100";;;;;;;;
13.44.D3.900,ФЛОРОЦЕНОЗ,кол.,25,6,2115,,,test_florotsenoz,100;;;;;;;;
"13.46.A1.900,ДНК вируса герпеса VII типа (Human Herpes virus VII),кач.,25,7,600,""ДНК вируса герпеса VII типа, Human Herpes virus VII, ПЦР вируса герпеса VII типа, вируса герпеса VII типа ПЦР"",,test_dnk_virusa_gerpesa_vii_tipa_human_herpes_virus_vii,100";;;;;;;;
13.48.D1.900,Андрофлор скрин,кол.,25,5,2540,,,test_androflor_skrin,100;;;;;;;;
13.48.D2.900,Андрофлор,кол.,25,5,3395,,,test_androflor,100;;;;;;;;
"13.5.A1.900,ДНК бледной трепонемы (Treponema pallidum),кач.,25,1,555,""ДНК бледной трепонемы, ПЦР бледной трепонемы, бледной трепонемы ПЦР"",,test_dnk_blednoy_treponemy_treponema_pallidum,100";;;;;;;;
"13.52.A1,""МикозоСкрин (типирование ДНК Candida, Malassezia, Saccharomyces и Debaryomyces)"",кол.,25,8,3625,""МикозоСкрин, типирование ДНК Candida, Malassezia, Saccharomyces и Debaryomyces, ДНК Candida, ПЦР Candida, Candida ПЦР"",,test_mikozoskrin_tipirovanie_dnk_candida_malassezia_saccharomyces_i_debaryomyces,100";;;;;;;;
"13.52.D1,""ДНК грибов дерматофитов (Trichophyton, Epidermophyton, Microsporum)"",кач.,25,5,1495,""ДНК грибов дерматофитов, ПЦР грибов дерматофитов, грибов дерматофитов ПЦР"",,test_dnk_gribov_dermatofitov_trichophyton_epidermophyton_microsporum,100";;;;;;;;
"13.6.A1.900,ДНК гонококка (Neisseria gonorrhoeae),кач.,25,1,540,""гонорея, Neisseria gonorrhoeae, ДНК гонококка, ПЦР гонококка, гонококка ПЦР"",,test_dnk_gonokokka_neisseria_gonorrhoeae,100";;;;;;;;
"13.6.A2.900,""ДНК гонококка (Neisseria gonorrhoeae), количественно"",кол.,25,1,600,""гонорея, Neisseria gonorrhoeae, ДНК гонококка, количественно, ДНК гонококка, ПЦР гонококка, гонококка ПЦР"",,test_dnk_gonokokka_neisseria_gonorrhoeae_kolichestvenno,100";;;;;;;;
"13.7.A1,Выявление генов резистентности к гликопептидным и бета-лактамным антибиотикам у бактерий (БакРезиста GLA),кач.,25,10,2685,""Выявление генов резистентности к гликопептидным и бета-лактамным антибиотикам у бактерий, БакРезиста GLA"",,test_vyyavlenie_genov_rezistentnosti_k_glikopeptidnym_i_beta_laktamnym_antibiotikam_u_bakteriy,100";;;;;;;;
"13.8.A1.900,ДНК микобактерии туберкулеза (Mycobacterium tuberculosis),кач.,25,1,895,""ДНК микобактерии туберкулеза, ПЦР микобактерии туберкулеза, микобактерии туберкулеза ПЦР"",,test_dnk_mikobakterii_tuberkuleza_mycobacterium_tuberculosis,100";;;;;;;;
"13.9.A1.101,ДНК хеликобактера (Helicobacter pylori),кач.,25,2,1210,""Helicobacter pylori, H. pylori, хеликобактер пилори, ДНК хеликобактера, ПЦР хеликобактера, хеликобактера ПЦР"",,test_dnk_helikobaktera_helicobacter_pylori,100";;;;;;;;
"14.1.9.D1,""Посев на грибы рода Аспергиллы (Aspergillus spp.) без определения чувствительности к антимикотикам (мазки со слизистой оболочки и кожи, отделяемое уха, мокрота)"",кач.,25,7,885,""бакпосев, бактериологический посев, посев с антибиотикограммой, чувствительность к антибиотикам, Посев на грибы рода Аспергиллы без определения чувствительности к антимикотикам"",,test_posev_na_griby_roda_aspergilly_aspergillus_spp_bez_opredeleniya_chuvstvitelnosti_k_antimik,100";;;;;;;;
14.1.A5.900,Исследование на биоценоз влагалища (диагностика бактериального вагиноза),п/кол.,25,8,2545,Исследование на биоценоз влагалища,,test_issledovanie_na_biotsenoz_vlagalischa_diagnostika_bakterialnogo_vaginoza,100;;;;;;;;
"14.1.A6.900,Посев на грибы рода кандида (Candida) с идентификацией и определением чувствительности к антимикотическим препаратам,п/кол.,25,8,1190,""candida, кандидоз, молочница, бакпосев, бактериологический посев, посев с антибиотикограммой, чувствительность к антибиотикам, Посев на грибы рода кандида с идентификацией и определением чувствительности к антимикотическим препаратам"",,test_posev_na_griby_roda_kandida_candida_s_identifikatsiey_i_opredeleniem_chuvstvitelnosti_k_an,100";;;;;;;;
"14.1.A8.900,Посев на гемофильную палочку (Haemophylus influenzae) с определением чувствительности к основному спектру антибиотиков,п/кол.,25,7,1175,""бакпосев, бактериологический посев, посев с антибиотикограммой, чувствительность к антибиотикам, Посев на гемофильную палочку с определением чувствительности к основному спектру антибиотиков"",,test_posev_na_gemofilnuyu_palochku_haemophylus_influenzae_s_opredeleniem_chuvstvitelnosti_k_osn,100";;;;;;;;
"14.1.D33.900,""Посев на микоплазму и уреаплазму (Mycoplasma hominis, Ureaplasma species) с определением чувствительности к антибиотикам"",п/кол.,25,5,2460,""mycoplasma, микоплазмоз, ureaplasma, уреаплазмоз, бакпосев, бактериологический посев, посев с антибиотикограммой, чувствительность к антибиотикам, Посев на микоплазму и уреаплазму с определением чувствительности к антибиотикам"",,test_posev_na_mikoplazmu_i_ureaplazmu_mycoplasma_hominis_ureaplasma_species_s_opredeleniem_chuv,100";;;;;;;;
"14.11.A1.900,""Посев на микрофлору отделяемого урогенитального тракта женщины с определением чувствительности к основному спектру антибиотиков, в т.ч. кандида"",п/кол.,25,7,1665,""candida, кандидоз, молочница, бакпосев, бактериологический посев, посев с антибиотикограммой, чувствительность к антибиотикам, флора, бактериальная флора"",,test_posev_na_mikrofloru_otdelyaemogo_urogenitalnogo_trakta_zhenschiny_s_opredeleniem_chuvstvit,100";;;;;;;;
